T,nc4
123,1.017149013
129.7018005,1.067404944
132.1727675,1.103822865
135.3521678,1.155934905
138.8993545,1.213048056
142.4399913,1.272983089
146.1731073,1.341493382
150.1090215,1.404825968
153.3982795,1.464991978
157.8595685,1.530941525
162.2235942,1.613334804
166.4753018,1.689501163
171.4367686,1.772977088
175.8069813,1.864482826
179.5338105,1.924056972
182.8275741,1.989702307
186.4423174,2.053277479
190.6610479,2.132254756
195.3846656,2.228242472
200.365365,2.323673837
205.3294098,2.423192345
210.4164405,2.511127132
217.1425333,2.629678725
220.817262,2.742302836
226.2880066,2.835865238
231.5702197,2.963527388
236.4791551,3.071070295
240.4811236,3.1427277
247.3532198,3.312424207
251.7151573,3.405346322
254.7894561,3.460330123
257.1510102,3.526456677
260.2916989,3.609580491
263.7267413,3.689287688
267.9867485,3.792781803
272.8450029,3.904861018
278.4665964,4.020252248
285.4487596,4.157173826
290.4824923,4.286257843
295.1746891,4.40008679
297.8318772,4.455534015
301.030579,4.527474479
303.2311862,4.600576515
306.1903738,4.681671008
309.9300017,4.764194956
315.242337,4.904980073
318.6280266,4.991440296
322.8329292,5.079424557
326.2389718,5.114334576
340.6787249,5.204485097
