T,nc6
123,0.152885504
128.5972878,0.160103307
130.4036348,0.164527527
132.4229931,0.171214545
134.0055384,0.177427718
136.0820883,0.185804171
138.2877584,0.190538653
140.4311053,0.199116132
142.6077737,0.207643895
144.5148122,0.214728328
146.4473862,0.22298764
149.3426539,0.233025875
151.6576343,0.241988983
153.2565808,0.249197969
155.0891167,0.258783122
157.7136162,0.268174055
159.9346039,0.27674278
162.0735095,0.287387416
164.4708674,0.299067921
167.605373,0.3158249
169.6095335,0.325233499
171.6376623,0.334922385
173.3260848,0.343456554
175.7669726,0.355920186
178.2422395,0.367292584
180.8787991,0.378234434
184.7095157,0.405669668
188.6250381,0.425534756
191.17442,0.445250868
194.5728547,0.465880478
198.3643093,0.488694007
201.04533,0.511336449
204.2761518,0.531004497
209.4834893,0.562641488
213.2074076,0.593170822
216.6336797,0.619094227
221.7835426,0.649410424
226.6751147,0.688101983
231.4802665,0.721797395
237.9793896,0.77448441
240.9935518,0.808331781
246.5155786,0.854339418
253.011897,0.907521163
257.7257798,0.964013417
266.2990929,1.039599291
271.7161333,1.096008701
276.4935308,1.141751638
281.6427198,1.197954671
286.3311205,1.255095408
291.0975692,1.301626535
295.6560971,1.345957275
302.040861,1.404010875
304.9884265,1.462437392
311.5747228,1.554667427
315.2270035,1.600608879
320.6301264,1.664790722
325.0192292,1.723998618
331.7157956,1.806230906
337.2377497,1.878657862
341.0252198,1.931359101
