T,nc7
123,0.022672238
127.2635835,0.02360362
129.1698282,0.024821834
131.2376987,0.026300707
133.7910109,0.027937899
135.8253228,0.029232333
138.0068314,0.030973981
140.5770787,0.032654652
142.3570705,0.034167625
144.6442553,0.036203316
147.3386688,0.038360292
149.9575001,0.041056933
153.2645645,0.043503085
155.7273273,0.046327529
158.2296934,0.04958425
161.8550918,0.052274727
165.7025503,0.056657864
168.9313092,0.060793558
171.6459623,0.064092261
176.9097521,0.070700642
180.9632689,0.077990395
184.6443279,0.082845216
188.5584193,0.08844622
192.8788964,0.094425898
196.4723882,0.098552602
198.9607893,0.106547621
201.4807266,0.110645869
204.2221409,0.117383953
209.4280667,0.125267511
213.5686988,0.132564006
217.1829107,0.139698428
220.3954802,0.148768368
223.9685692,0.155791799
227.9180964,0.164176311
232.0995054,0.173739139
237.5173294,0.190930928
243.4017834,0.202901252
247.6940068,0.217894542
252.7679087,0.231555337
257.9457432,0.251814211
265.2620893,0.273845542
273.9327974,0.304753085
282.0968256,0.339860884
289.6927947,0.369595456
296.6611525,0.399748758
300.8925412,0.421160493
305.6786521,0.444257856
310.2896762,0.468621928
314.4608621,0.492525967
319.4628005,0.513894213
323.5174408,0.53652544
327.6150021,0.56185508
330.3755017,0.57980753
342.6936788,0.593336202
