T,nc5
123,0.364515378
130.6727547,0.387206083
133.553271,0.406167035
136.8421265,0.429284752
140.2123422,0.453718255
144.5119926,0.480750569
147.9471983,0.508113341
151.3370793,0.534337755
154.4154806,0.561915647
159.2845226,0.596894315
162.2521153,0.626123413
166.2486013,0.656783819
170.2006654,0.690681317
174.9792469,0.731831776
178.8385042,0.765739411
183.2435677,0.803236622
186.8142619,0.84257002
190.6144125,0.874978638
195.1457344,0.920137465
201.1303625,0.982346173
204.0307353,1.011948104
205.9384834,1.034294065
209.0449718,1.06485814
210.9996049,1.091017015
213.4902142,1.12325729
215.8354794,1.145278375
218.7369294,1.184859177
221.2293333,1.213965949
224.0219216,1.245297919
226.9415737,1.278989584
229.9923236,1.323191443
233.2727961,1.357342479
236.5043383,1.404252212
239.6836417,1.442244403
242.2186202,1.481264476
245.1769289,1.528742385
249.3793616,1.581575697
253.4486294,1.626337652
255.5824481,1.654979593
258.7621416,1.684526669
261.3196666,1.730568303
263.6060054,1.764436045
266.5857036,1.800483152
268.8425594,1.837266694
271.4234353,1.877964036
275.3412783,1.955480781
280.0229707,2.020813132
283.9851322,2.08656921
288.7326519,2.158098992
340.3359838,2.921973418
