T,ic4
123,1.367499774
126.4015275,1.377492344
127.2114676,1.390929446
128.1390713,1.407910298
128.8662628,1.425098457
129.6503324,1.43725487
130.5977303,1.458336178
131.8185584,1.481523346
132.8895098,1.499610193
133.9692076,1.521606115
135.2217485,1.545799258
136.6518038,1.574192797
137.8178994,1.597282679
139.0502101,1.620711237
140.5776726,1.654491143
142.2369892,1.6828379
143.6831517,1.713748592
145.3791376,1.749467642
147.393052,1.796799672
150.1622513,1.838706621
152.1808478,1.877030127
154.3514457,1.93015407
156.5530076,1.977569456
158.6575217,2.023692517
161.2464158,2.07340573
163.8112574,2.124340177
166.2150003,2.179168537
168.9272188,2.23812617
172.1010288,2.304264281
174.980086,2.372356816
177.9194912,2.433367859
181.232916,2.501630157
184.0709836,2.56059729
186.9534949,2.628598354
189.9733701,2.710218716
193.2295906,2.794373464
197.0193853,2.868582857
200.5910893,2.944763007
204.0293036,3.036200568
209.2134049,3.167868664
214.5466293,3.281450466
220.3853375,3.424860033
226.3829415,3.601621678
235.2915832,3.835457475
244.5508,4.074210738
255.4572448,4.382618041
265.2873347,4.655431483
275.2646258,4.932799838
287.7822158,5.213558896
340.2036685,5.868054734
