Player,Number,Nationality,Position,Age,Minutes,Goals,Shots,ShotsOnTarget,CompletedPasses,AttemptedPasses,%CompletedPasses,DistancePasses,DistanceProgression,ShortPasses,AttemptedShortPasses,%ShortCompletedPasses,MediumPasses,AttemptedMediumPasses,%MediumCompletedPasses,LongPasses,AttemptedLongPasses,%LlongCompletedPasses,Assistance,ExpectedGoalsAssistance,ExpectedAssistance,KeyPasses,Last1/3Passes,GoalAreaPasses,GoalAreaCrosses,GoalPasses,LiveBallPasses,DeadBallPasses,FreeKick,LongPasses,SidePasses,Crosses,Strongcrosses,Corner,CornerIn,CornerOut,CornerRect,OffsidePasses,PassesBlocked,Tackles,SuccessfulTackles,TacklesInDefense,TacklesInMedium,TacklesInAttack,DribblerTackles,AttemptedDribblerTackles,%DribblerTacklesCompleted,DribblerTacklesNonCompleted,BallsBlocked,ShotsBlocked,PassesBlocked,Interceptions,Tackles+Interceptions,Clearances,MistakesRivalShots,Touches,OwnPenaltyAreaTouches,TouchesInDefense,TouchesInMedium,AttemptedDribbles,DribblesCompleted,%DribblesCompleted,TouchesInAttack,AwayPenaltyAreaTouches,LiveBallTouches,BallCarries,DistanceCarried,ForwardDistanceCarried,ForwardCarries,CarriesInAttack,AwayPenaltyAreaCarries,LostControlCarries,LostCarries,PassesReception,AttackPassesReception,YellowCards,RedCards,SecondYellowCards,Fouls,Offside,Penalties,PenaltiesConceded,LostBallRecoveries,AerialsWon,AerialsLost,%AerialsWon
Cristhian Stuani,7,uy URU,FW,36-304,63,0,2,0,6,7,85.7,96,15,3,3,100.0,3,4,75.0,0,0,,0,0.0,0.0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,13,1,2,8,3,3,13,1,0,0.0,5,9,1,0,0,0,2,0,8,1,1,0,0,0,0,0,0,1,5,3,62.5
Artem Dovbyk,9,ua UKR,FW,26-052,27,1,1,1,1,4,25.0,3,0,0,2,0.0,0,0,,0,0,,0,0.1,0.0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,7,0,0,2,5,4,7,1,1,100.0,6,56,48,1,0,0,0,2,7,2,0,0,0,2,0,0,0,0,1,3,25.0
Yan Couto,20,br BRA,LM,21-070,63,0,1,0,12,23,52.2,199,29,7,9,77.8,4,8,50.0,1,2,50.0,0,0.0,0.0,0,1,0,0,1,21,2,0,0,0,3,2,0,0,0,0,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,29,0,4,10,15,0,29,2,1,50.0,24,156,69,2,2,0,1,0,23,6,0,0,0,1,2,0,0,2,0,1,0.0
Pablo Torre,18,es ESP,LM,20-131,27,0,1,0,4,7,57.1,86,33,1,2,50.0,2,2,100.0,1,2,50.0,0,0.0,0.0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,9,0,0,6,3,1,9,0,0,,5,32,18,0,1,0,0,0,7,0,0,0,0,1,1,0,0,0,0,1,0.0
Viktor Tsyhankov,8,ua UKR,CM,25-270,90,0,0,0,14,17,82.4,173,53,8,9,88.9,5,5,100.0,0,0,,1,0.3,0.5,1,2,2,0,2,17,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,27,1,1,13,13,3,27,2,0,0.0,15,51,32,2,0,1,3,1,20,3,0,0,0,0,4,0,0,2,2,2,50.0
Yangel Herrera,21,ve VEN,CM,25-210,85,0,0,0,24,29,82.8,274,71,15,16,93.8,5,7,71.4,0,2,0.0,0,0.0,0.0,0,4,0,0,1,28,1,1,0,0,1,0,0,0,0,0,0,0,5,2,0,4,1,2,3,66.7,1,1,0,1,0,5,0,0,36,1,9,21,7,0,36,2,2,100.0,19,76,35,0,2,0,1,1,23,2,0,0,0,3,4,0,0,5,2,1,66.7
Iván Martín,23,es ESP,DM,24-179,5,0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
Sávio,16,br BRA,RM,19-124,63,0,0,0,20,22,90.9,255,53,12,13,92.3,7,8,87.5,0,0,,0,0.1,0.1,1,0,1,1,0,20,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0,34,0,5,17,13,2,34,2,0,0.0,24,132,51,1,2,1,5,1,26,2,0,0,0,0,2,0,0,5,0,1,0.0
Valery Fernández,11,es ESP,RM,23-262,27,0,0,0,6,10,60.0,68,6,5,6,83.3,1,2,50.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,11,1,3,7,1,1,11,0,0,,10,82,32,1,0,1,0,0,8,2,0,0,0,0,2,0,0,3,0,0,
Aleix García,14,es ESP,DM,26-045,90,0,0,0,49,57,86.0,1089,314,13,14,92.9,26,26,100.0,8,14,57.1,0,0.0,0.0,1,4,0,0,4,49,7,6,0,3,4,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0.0,2,1,1,0,1,1,1,0,61,8,24,30,8,0,61,0,0,,32,150,28,0,0,0,1,0,43,0,0,0,0,0,3,0,0,3,1,1,50.0
Miguel Gutiérrez,3,es ESP,LB,22-016,90,0,0,0,33,38,86.8,488,92,17,17,100.0,15,19,78.9,0,0,,0,0.0,0.3,0,0,1,0,3,26,12,1,1,0,2,11,0,0,0,0,0,0,1,1,0,1,0,1,2,50.0,1,1,0,1,0,1,3,0,46,3,13,19,14,0,46,2,0,0.0,18,79,26,0,0,0,2,2,22,1,1,0,0,1,0,0,0,3,2,0,100.0
Daley Blind,17,nl NED,CB,33-156,90,0,0,0,54,65,83.1,1010,422,22,25,88.0,29,31,93.5,3,8,37.5,0,0.0,0.0,0,8,0,0,1,62,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,0,73,10,40,31,2,0,73,3,2,66.7,45,232,100,0,0,0,1,1,54,0,0,0,0,0,1,0,0,2,4,2,66.7
David López,5,es ESP,CB,33-307,90,0,1,0,67,79,84.8,1345,322,18,18,100.0,42,46,91.3,7,14,50.0,0,0.0,0.0,0,0,0,0,3,66,13,5,0,1,0,0,0,0,0,0,0,0,4,3,3,1,0,2,3,66.7,1,2,1,1,0,4,2,0,93,24,59,34,1,1,93,2,0,0.0,48,258,125,0,0,0,2,1,56,1,1,0,0,0,2,0,0,10,0,2,0.0
Arnau Martinez,4,es ESP,RB,20-109,89,0,0,0,54,57,94.7,813,194,31,31,100.0,21,23,91.3,2,3,66.7,0,0.4,0.4,2,3,1,0,3,46,11,3,0,0,0,8,0,0,0,0,0,0,4,1,3,1,0,2,4,50.0,2,0,0,0,2,6,0,0,63,3,27,28,8,1,63,0,0,,31,233,120,2,1,0,1,0,36,0,1,0,0,1,1,0,0,9,0,0,
Bernardo Espinosa,2,co COL,RB,34-032,1,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,2,2,2,0,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.0
Paulo Gazzaniga,13,ar ARG,GK,31-222,90,0,0,0,25,42,59.5,717,472,1,1,100.0,18,18,100.0,6,22,27.3,0,0.0,0.0,0,0,0,0,0,31,10,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,43,40,43,0,0,0,43,0,0,,33,134,79,0,0,0,0,1,30,0,1,0,0,0,0,0,0,0,0,0,
