date_of_match,hour_of_the_match,home_team_name,away_team_name,home_trainer,away_trainer,stadium,attendance,referee,var,home_team_lineup,away_team_lineup
2023-08-11,19:30,Almería,Rayo Vallecano,Vicente Moreno,Francisco,"Power Horse Stadium, Almería","14,837",Javier Alberola (Árbitro),Santiago Jaime (VAR),4-2-3-1,4-2-3-1
2023-08-11,22:00,Sevilla,Valencia,Mendilibar,Rubén Baraja,"Estadio Ramón Sánchez Pizjuán, Sevilla","34,184",José Sánchez (Árbitro),Carlos del Cerro (VAR),4-2-3-1,4-4-2
2023-08-12,17:00,Real Sociedad,Girona,Imanol Alguacil,Michel,"Reale Arena, San Sebastián","30,848",Francisco Hernández (Árbitro),Santiago Jaime (VAR),4-3-3,4-1-4-1
