Player,Number,Nationality,Position,Age,Minutes,Goals,Shots,ShotsOnTarget,CompletedPasses,AttemptedPasses,%CompletedPasses,DistancePasses,DistanceProgression,ShortPasses,AttemptedShortPasses,%ShortCompletedPasses,MediumPasses,AttemptedMediumPasses,%MediumCompletedPasses,LongPasses,AttemptedLongPasses,%LlongCompletedPasses,Assistance,ExpectedGoalsAssistance,ExpectedAssistance,KeyPasses,Last1/3Passes,GoalAreaPasses,GoalAreaCrosses,GoalPasses,LiveBallPasses,DeadBallPasses,FreeKick,LongPasses,SidePasses,Crosses,Strongcrosses,Corner,CornerIn,CornerOut,CornerRect,OffsidePasses,PassesBlocked,Tackles,SuccessfulTackles,TacklesInDefense,TacklesInMedium,TacklesInAttack,DribblerTackles,AttemptedDribblerTackles,%DribblerTacklesCompleted,DribblerTacklesNonCompleted,BallsBlocked,ShotsBlocked,PassesBlocked,Interceptions,Tackles+Interceptions,Clearances,MistakesRivalShots,Touches,OwnPenaltyAreaTouches,TouchesInDefense,TouchesInMedium,AttemptedDribbles,DribblesCompleted,%DribblesCompleted,TouchesInAttack,AwayPenaltyAreaTouches,LiveBallTouches,BallCarries,DistanceCarried,ForwardDistanceCarried,ForwardCarries,CarriesInAttack,AwayPenaltyAreaCarries,LostControlCarries,LostCarries,PassesReception,AttackPassesReception,YellowCards,RedCards,SecondYellowCards,Fouls,Offside,Penalties,PenaltiesConceded,LostBallRecoveries,AerialsWon,AerialsLost,%AerialsWon
Randy Nteka,11,ao ANG,FW,25-248,81,1,2,0,14,17,82.4,152,39,9,9,100.0,2,3,66.7,1,1,100.0,0,0.1,0.0,1,2,0,0,1,15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,3,0,30,2,4,10,16,5,29,1,0,0.0,18,54,18,0,0,0,2,2,22,4,0,0,0,2,2,1,0,2,4,3,57.1
Radamel Falcao,9,co COL,FW,37-182,9,0,0,0,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,,2,4,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,
Álvaro García,18,es ESP,LW,30-288,85,0,0,0,9,15,60.0,89,15,7,8,87.5,2,4,50.0,0,2,0.0,0,0.0,0.3,0,0,1,0,1,14,1,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,20,0,1,4,15,1,20,1,0,0.0,11,34,10,0,0,0,1,0,13,4,1,0,0,2,0,0,0,1,0,1,0.0
Pep Chavarría,3,es ESP,LW,25-123,5,0,0,0,1,2,50.0,21,0,0,1,0.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,4,0,0,2,2,0,4,0,0,,2,38,0,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0,1,0,100.0
Isaac Palazón Camacho,7,es ESP,RW,28-227,90,1,2,0,33,40,82.5,546,115,19,22,86.4,6,7,85.7,5,7,71.4,0,0.0,0.0,1,3,0,0,3,39,1,0,0,1,2,0,1,1,0,0,0,0,1,0,1,0,0,1,1,100.0,0,0,0,0,3,4,3,0,53,2,9,25,20,2,52,1,0,0.0,34,141,48,2,2,0,1,2,32,0,0,0,0,0,2,0,0,5,2,3,40.0
Óscar Trejo,8,ar ARG,AM,35-107,62,0,1,1,14,18,77.8,165,65,9,11,81.8,4,5,80.0,0,1,0.0,0,0.0,0.0,0,3,1,0,5,18,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,0,2,2,100.0,0,0,0,0,0,3,0,0,30,1,5,14,11,3,30,5,1,20.0,20,93,30,1,0,1,2,1,19,1,0,0,0,3,2,0,0,4,0,1,0.0
Salvi,19,es ESP,AM,32-134,28,0,0,0,10,12,83.3,139,17,4,4,100.0,4,5,80.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,4,0,0,0,1,1,0,0,14,0,1,9,4,0,14,1,1,100.0,14,102,47,2,2,0,0,2,13,2,0,0,0,0,1,0,0,1,0,0,
Óscar Valentín,23,es ESP,DM,28-356,85,0,0,0,23,28,82.1,338,89,12,14,85.7,7,7,100.0,2,4,50.0,0,0.0,0.0,0,3,0,0,2,28,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,4,25.0,3,1,0,1,0,1,0,0,31,1,2,25,4,0,31,1,0,0.0,22,130,12,0,0,0,0,0,19,0,1,0,0,4,0,0,0,7,1,0,100.0
Diego Méndez,29,es ESP,DM,19-347,5,0,0,0,2,2,100.0,26,21,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,0,0,3,0,1,2,0,0,3,0,0,,1,12,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,100.0
Unai López,17,es ESP,DM,27-285,45,0,2,1,18,23,78.3,339,84,10,11,90.9,5,6,83.3,3,6,50.0,0,0.0,0.1,0,3,1,0,1,22,1,0,0,1,1,0,1,0,0,0,0,0,3,1,2,0,1,3,6,50.0,3,1,0,1,1,4,0,0,31,0,5,16,10,1,31,1,0,0.0,20,84,35,0,0,0,0,0,20,0,1,0,0,3,0,0,0,1,0,0,
Pathé Ciss,21,sn SEN,DM,29-148,45,0,0,0,18,21,85.7,481,93,5,7,71.4,8,9,88.9,5,5,100.0,0,0.0,0.0,1,1,0,0,1,19,2,2,0,3,1,0,0,0,0,0,0,1,3,0,3,0,0,2,2,100.0,0,0,0,0,0,3,3,0,26,2,11,11,4,0,26,0,0,,19,107,50,1,0,0,0,2,17,0,0,0,0,3,0,0,0,2,2,1,66.7
Alfonso Espino,12,uy URU,LB,31-218,90,0,1,0,29,38,76.3,471,120,16,19,84.2,8,9,88.9,3,6,50.0,0,0.0,0.0,0,2,1,0,1,34,4,1,0,1,0,3,0,0,0,0,0,0,5,4,4,1,0,4,5,80.0,1,0,0,0,2,7,4,0,50,3,18,22,11,2,50,2,2,100.0,31,93,43,1,0,1,0,0,27,3,0,0,0,2,2,0,0,3,1,2,33.3
Florian Lejeune,24,fr FRA,CB,32-083,90,0,0,0,26,34,76.5,616,279,7,8,87.5,14,14,100.0,4,11,36.4,0,0.0,0.0,0,4,0,0,1,32,2,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,100.0,0,1,1,0,0,1,10,0,46,10,28,18,0,0,46,0,0,,27,124,59,0,0,0,0,0,26,1,0,0,0,2,0,0,0,4,3,0,100.0
Aridane Hernández,5,es ESP,CB,34-141,90,0,0,0,26,35,74.3,622,267,7,9,77.8,14,17,82.4,5,8,62.5,0,0.0,0.0,0,1,0,0,0,32,3,3,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,5,0,45,7,25,19,1,1,45,0,0,,26,114,50,0,0,0,1,0,25,0,0,0,0,1,0,0,0,3,3,0,100.0
Iván Balliu,20,al ALB,RB,31-222,90,0,0,0,31,41,75.6,485,211,18,19,94.7,10,15,66.7,3,6,50.0,0,0.1,0.1,2,3,1,1,1,28,13,2,0,0,2,11,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,42,2,12,20,12,0,42,0,0,,27,93,56,2,0,0,1,0,24,2,0,0,0,1,4,0,0,6,0,0,
Stole Dimitrievski,1,mk MKD,GK,29-229,90,0,0,0,14,27,51.9,580,460,2,2,100.0,1,1,100.0,11,24,45.8,0,0.0,0.0,0,1,0,0,0,14,13,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,31,29,31,0,0,0,31,0,0,,15,68,34,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,
