Player,Number,Nationality,Position,Age,Minutes,Goals,Shots,ShotsOnTarget,CompletedPasses,AttemptedPasses,%CompletedPasses,DistancePasses,DistanceProgression,ShortPasses,AttemptedShortPasses,%ShortCompletedPasses,MediumPasses,AttemptedMediumPasses,%MediumCompletedPasses,LongPasses,AttemptedLongPasses,%LlongCompletedPasses,Assistance,ExpectedGoalsAssistance,ExpectedAssistance,KeyPasses,Last1/3Passes,GoalAreaPasses,GoalAreaCrosses,GoalPasses,LiveBallPasses,DeadBallPasses,FreeKick,LongPasses,SidePasses,Crosses,Strongcrosses,Corner,CornerIn,CornerOut,CornerRect,OffsidePasses,PassesBlocked,Tackles,SuccessfulTackles,TacklesInDefense,TacklesInMedium,TacklesInAttack,DribblerTackles,AttemptedDribblerTackles,%DribblerTacklesCompleted,DribblerTacklesNonCompleted,BallsBlocked,ShotsBlocked,PassesBlocked,Interceptions,Tackles+Interceptions,Clearances,MistakesRivalShots,Touches,OwnPenaltyAreaTouches,TouchesInDefense,TouchesInMedium,AttemptedDribbles,DribblesCompleted,%DribblesCompleted,TouchesInAttack,AwayPenaltyAreaTouches,LiveBallTouches,BallCarries,DistanceCarried,ForwardDistanceCarried,ForwardCarries,CarriesInAttack,AwayPenaltyAreaCarries,LostControlCarries,LostCarries,PassesReception,AttackPassesReception,YellowCards,RedCards,SecondYellowCards,Fouls,Offside,Penalties,PenaltiesConceded,LostBallRecoveries,AerialsWon,AerialsLost,%AerialsWon
Youssef En-Nesyri,15,ma MAR,FW,26-071,81,1,4,2,3,6,50.0,48,0,1,3,33.3,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,18,0,2,5,11,5,18,3,0,0.0,8,37,12,1,0,0,2,1,11,2,0,0,0,1,2,0,0,1,3,3,50.0
Federico Gattoni,2,ar ARG,CB,24-176,9,0,0,0,5,6,83.3,100,20,2,2,100.0,2,3,66.7,1,1,100.0,0,0.0,0.0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,8,1,6,2,0,0,8,0,0,,2,13,12,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,1,50.0
Érik Lamela,17,ar ARG,LW,31-160,55,0,0,0,6,7,85.7,80,26,4,4,100.0,2,3,66.7,0,0,,0,0.0,0.0,1,0,0,0,0,6,1,0,0,0,1,1,0,0,0,0,0,0,6,3,0,2,4,2,2,100.0,0,3,0,3,0,6,0,0,24,0,2,6,16,1,24,1,0,0.0,9,22,5,0,0,0,4,0,12,4,0,0,0,5,0,0,0,0,0,1,0.0
Óliver Torres,21,es ESP,AM,28-274,35,0,0,0,13,18,72.2,143,27,12,14,85.7,1,3,33.3,0,0,,0,0.0,0.0,1,0,1,1,1,16,2,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,21,0,1,8,12,0,21,1,0,0.0,13,44,14,1,0,0,0,1,14,2,0,0,0,0,0,0,0,1,2,3,40.0
Lucas Ocampos,5,ar ARG,"RW,LW",29-031,90,0,1,0,15,26,57.7,199,43,10,14,71.4,3,4,75.0,1,3,33.3,0,0.0,0.0,1,2,0,0,1,24,2,1,0,0,1,1,0,0,0,0,0,3,2,1,0,1,1,0,3,0.0,3,1,0,1,1,3,1,0,40,1,1,23,19,5,40,4,0,0.0,28,170,80,4,2,2,3,1,28,3,0,0,0,0,3,0,0,7,1,1,50.0
Suso,7,es ESP,"AM,RW",29-265,90,0,1,1,23,39,59.0,560,215,7,12,58.3,8,12,66.7,6,10,60.0,1,0.5,0.3,2,3,2,2,3,32,7,4,0,3,9,1,1,0,0,0,0,3,1,0,1,0,0,0,1,0.0,1,1,0,1,0,1,0,0,47,0,6,24,18,0,47,3,1,33.3,32,156,81,3,0,0,3,2,32,4,0,0,0,0,3,0,0,5,2,1,66.7
Ivan Rakitić,10,hr CRO,DM,35-154,90,0,1,0,46,69,66.7,731,187,23,26,88.5,17,27,63.0,4,8,50.0,0,0.0,0.0,1,1,1,1,2,57,12,2,0,0,9,5,5,1,2,0,0,4,3,2,1,2,0,1,2,50.0,1,0,0,0,1,4,0,0,81,0,12,45,26,2,81,5,2,40.0,40,167,53,3,1,0,1,2,44,2,1,0,0,3,1,0,0,11,2,0,100.0
Fernando,20,br BRA,DM,36-017,68,0,0,0,25,30,83.3,394,62,16,16,100.0,7,11,63.6,2,2,100.0,0,0.0,0.0,0,2,1,0,2,29,1,1,0,0,1,0,0,0,0,0,0,0,2,1,0,1,1,0,3,0.0,3,2,0,2,1,3,0,0,41,2,10,24,8,1,41,3,1,33.3,24,121,47,0,2,0,0,1,22,2,0,0,0,1,0,0,0,6,1,1,50.0
Djibril Sow,18,ch SUI,DM,26-186,22,0,0,0,8,10,80.0,122,10,5,7,71.4,2,2,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,12,0,3,6,3,0,12,0,0,,7,22,12,0,0,0,0,0,10,0,0,0,0,0,1,0,0,1,1,1,50.0
Marcos Acuña,19,ar ARG,LB,31-287,90,0,2,0,49,68,72.1,1179,555,17,20,85.0,18,21,85.7,13,23,56.5,0,0.1,0.1,1,9,2,1,5,51,17,0,0,1,7,15,2,0,2,0,0,3,2,1,1,1,0,1,2,50.0,1,2,0,2,3,5,0,0,80,0,23,35,22,1,80,3,1,33.3,36,161,95,2,0,1,2,3,38,2,1,0,0,1,1,0,0,10,0,2,0.0
