T,ic5
123,0.495570885
127.1837149,0.509863899
128.7972895,0.523504849
130.4345831,0.53751075
131.9649875,0.550771635
133.5784848,0.564933065
135.2118256,0.579458614
137.3317705,0.5985976
138.6190028,0.610376787
139.8595412,0.621841812
141.3761228,0.636009037
142.9426731,0.650817669
144.5265916,0.6659711
145.9910846,0.680143738
147.8165981,0.698028
149.7702565,0.717435774
151.8921306,0.738829013
154.4418891,0.764969914
157.0712789,0.792423689
159.6705458,0.820059155
163.0757687,0.857011304
166.0077873,0.889509054
169.6674743,0.930957356
173.2452834,0.972430283
177.1891232,1.019238771
181.0104117,1.065687781
184.0921594,1.103933929
188.7691725,1.163322271
193.2022672,1.221112138
196.9990315,1.271768735
201.2475512,1.329726106
205.3468149,1.386924553
209.5787129,1.447291995
213.4969764,1.504381654
216.9791438,1.556084146
220.8285567,1.614299896
225.115442,1.680444342
227.8769734,1.723786958
231.4851031,1.781284449
234.3797218,1.828123014
238.8736578,1.902096945
241.1811089,1.940674079
245.1722905,2.008354328
249.5803918,2.084510846
252.8791019,2.142468002
255.8612039,2.195575816
258.7046641,2.246846124
261.4119938,2.29623539
264.370717,2.350851175
266.5367097,2.391258163
266.6117148,2.392663827
269.6292899,2.449573155
272.8345083,2.510785319
276.0001608,2.572015189
278.8884874,2.62855219
281.7277604,2.684753774
285.8902815,2.768269092
289.2067276,2.835764007
291.8083615,2.889304754
294.3535065,2.942188263
296.5987117,2.989254743
298.6583489,3.032773638
300.8955585,3.080416102
303.0261487,3.126147994
305.8350852,3.186977223
308.2096854,3.23887739
310.2236431,3.283237789
313.0992977,3.347123704
316.3877485,3.420967177
319.2338966,3.485556874
321.7561856,3.543323474
324.2104073,3.600006373
326.4617857,3.652416861
328.6395998,3.703490617
330.7870544,3.754214464
333.2649361,3.81319019
335.5336593,3.86760806
337.817827,3.922802525
339.7946439,3.970899332
340.718031,3.99347043
341.4585469,4.011619647
