demo_name,title,num_steps
get-started-snowpark-ws-nb,Getting Started with Snowpark in Snowflake Notebooks and Python Worksheets,1
get-started-snowflake-ml,Getting Started with Snowflake ML,4
analysis-churn-notebooks,Data Analysis and Churn Prediction Using Snowflake Notebooks,2
image-anomaly-notebooks,Defect detection using Distributed PyTorch with Snowflake Notebooks,1
support-case-cortex,"Streamlining Support Case Analysis with Snowflake Cortex
",1
scale-embeddings-notebooks,Scale Embeddings with Snowflake Notebooks on Container Runtime,2
