Player,Number,Nationality,Position,Age,Minutes,Goals,Shots,ShotsOnTarget,CompletedPasses,AttemptedPasses,%CompletedPasses,DistancePasses,DistanceProgression,ShortPasses,AttemptedShortPasses,%ShortCompletedPasses,MediumPasses,AttemptedMediumPasses,%MediumCompletedPasses,LongPasses,AttemptedLongPasses,%LlongCompletedPasses,Assistance,ExpectedGoalsAssistance,ExpectedAssistance,KeyPasses,Last1/3Passes,GoalAreaPasses,GoalAreaCrosses,GoalPasses,LiveBallPasses,DeadBallPasses,FreeKick,LongPasses,SidePasses,Crosses,Strongcrosses,Corner,CornerIn,CornerOut,CornerRect,OffsidePasses,PassesBlocked,Tackles,SuccessfulTackles,TacklesInDefense,TacklesInMedium,TacklesInAttack,DribblerTackles,AttemptedDribblerTackles,%DribblerTacklesCompleted,DribblerTacklesNonCompleted,BallsBlocked,ShotsBlocked,PassesBlocked,Interceptions,Tackles+Interceptions,Clearances,MistakesRivalShots,Touches,OwnPenaltyAreaTouches,TouchesInDefense,TouchesInMedium,AttemptedDribbles,DribblesCompleted,%DribblesCompleted,TouchesInAttack,AwayPenaltyAreaTouches,LiveBallTouches,BallCarries,DistanceCarried,ForwardDistanceCarried,ForwardCarries,CarriesInAttack,AwayPenaltyAreaCarries,LostControlCarries,LostCarries,PassesReception,AttackPassesReception,YellowCards,RedCards,SecondYellowCards,Fouls,Offside,Penalties,PenaltiesConceded,LostBallRecoveries,AerialsWon,AerialsLost,%AerialsWon
Luis Javier Suárez,9,co COL,FW,25-252,90,0,4,2,9,12,75.0,173,13,5,6,83.3,3,5,60.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,11,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,0,2,0,2,0,1,0,0,27,0,1,9,17,7,27,0,0,,15,53,27,2,0,2,5,0,19,6,0,0,0,2,6,0,0,2,0,2,0.0
Adri Embarba,10,es ESP,"LW,LM",31-096,90,0,3,0,30,40,75.0,476,118,16,17,94.1,7,12,58.3,4,8,50.0,0,0.5,0.3,3,1,0,0,1,30,10,2,0,1,8,2,4,1,3,0,0,0,2,2,1,0,1,1,1,100.0,0,1,0,1,0,2,0,0,58,1,5,21,32,7,58,6,2,33.3,31,179,71,4,1,0,4,1,37,9,0,0,0,3,2,0,0,5,1,2,33.3
Lázaro,14,br BRA,RW,21-152,45,0,1,0,7,8,87.5,84,8,5,6,83.3,2,2,100.0,0,0,,0,0.0,0.0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,16,0,3,7,6,1,16,3,0,0.0,9,55,3,0,0,0,0,1,9,2,0,0,0,1,2,0,0,2,0,0,
Sergio Arribas,19,es ESP,"FW,RW",21-315,45,0,3,0,21,25,84.0,266,78,11,11,100.0,8,8,100.0,0,4,0.0,0,0.1,0.1,3,1,4,0,6,22,3,2,0,0,3,0,1,1,0,0,0,0,2,1,1,1,0,1,1,100.0,0,0,0,0,1,3,0,0,34,0,2,11,21,4,34,2,1,50.0,15,72,59,1,3,0,0,1,21,3,0,0,0,0,1,0,0,1,0,0,
Largie Ramazani,7,be BEL,"AM,RM",22-165,82,0,2,2,15,19,78.9,251,107,8,8,100.0,6,8,75.0,1,2,50.0,0,0.1,0.1,2,1,2,0,2,19,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,1,0,1,3,33.3,2,0,0,0,1,2,0,0,33,0,4,15,15,1,33,6,2,33.3,26,150,94,2,0,1,4,0,26,3,1,0,0,1,5,0,0,3,0,3,0.0
Marko Milovanović,29,rs SRB,RM,20-007,8,0,0,0,1,1,100.0,9,7,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0
Iddrisu Baba,4,gh GHA,"DM,CM",27-201,76,0,2,0,33,37,89.2,650,216,15,16,93.8,13,14,92.9,5,5,100.0,0,0.0,0.0,1,1,0,0,5,35,2,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,,0,1,0,1,1,2,0,0,42,2,14,24,5,2,42,1,0,0.0,25,93,18,0,0,0,0,0,28,0,0,0,0,3,2,0,0,7,2,2,50.0
Gonzalo Melero,11,es ESP,CM,29-221,14,0,0,0,9,13,69.2,124,41,6,8,75.0,3,5,60.0,0,0,,0,0.0,0.0,0,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,15,1,3,11,1,0,15,1,1,100.0,10,56,47,1,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,
Lucas Robertone,5,ar ARG,"DM,CM",26-146,77,0,1,0,48,61,78.7,999,343,18,20,90.0,19,22,86.4,10,16,62.5,0,0.0,0.0,1,3,0,0,5,50,11,8,0,1,5,0,3,0,2,0,0,1,2,1,1,1,0,2,2,100.0,0,0,0,0,1,3,1,0,67,2,19,39,11,0,67,1,0,0.0,39,137,47,0,0,0,1,0,43,0,0,0,0,0,3,0,0,8,2,2,50.0
Dion Lopy,6,sn SEN,CM,21-190,13,0,1,0,12,13,92.3,216,48,5,5,100.0,6,6,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,0,12,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,14,0,2,10,2,0,14,0,0,,13,54,16,0,0,0,0,0,12,0,0,0,0,0,2,0,0,1,0,0,
