Player,Number,Nationality,Position,Age,Minutes,Goals,Shots,ShotsOnTarget,CompletedPasses,AttemptedPasses,%CompletedPasses,DistancePasses,DistanceProgression,ShortPasses,AttemptedShortPasses,%ShortCompletedPasses,MediumPasses,AttemptedMediumPasses,%MediumCompletedPasses,LongPasses,AttemptedLongPasses,%LlongCompletedPasses,Assistance,ExpectedGoalsAssistance,ExpectedAssistance,KeyPasses,Last1/3Passes,GoalAreaPasses,GoalAreaCrosses,GoalPasses,LiveBallPasses,DeadBallPasses,FreeKick,LongPasses,SidePasses,Crosses,Strongcrosses,Corner,CornerIn,CornerOut,CornerRect,OffsidePasses,PassesBlocked,Tackles,SuccessfulTackles,TacklesInDefense,TacklesInMedium,TacklesInAttack,DribblerTackles,AttemptedDribblerTackles,%DribblerTacklesCompleted,DribblerTacklesNonCompleted,BallsBlocked,ShotsBlocked,PassesBlocked,Interceptions,Tackles+Interceptions,Clearances,MistakesRivalShots,Touches,OwnPenaltyAreaTouches,TouchesInDefense,TouchesInMedium,AttemptedDribbles,DribblesCompleted,%DribblesCompleted,TouchesInAttack,AwayPenaltyAreaTouches,LiveBallTouches,BallCarries,DistanceCarried,ForwardDistanceCarried,ForwardCarries,CarriesInAttack,AwayPenaltyAreaCarries,LostControlCarries,LostCarries,PassesReception,AttackPassesReception,YellowCards,RedCards,SecondYellowCards,Fouls,Offside,Penalties,PenaltiesConceded,LostBallRecoveries,AerialsWon,AerialsLost,%AerialsWon
Carlos Fernández,9,es ESP,FW,27-082,58,0,2,0,6,11,54.5,67,32,3,4,75.0,2,4,50.0,0,0,,0,0.0,0.2,0,1,1,0,2,11,0,0,1,0,0,0,0,0,0,0,0,1,3,3,0,1,2,0,1,0.0,1,0,0,0,0,3,0,0,17,0,0,6,11,3,17,0,0,,7,29,10,0,0,0,2,0,10,1,0,0,0,4,0,0,0,1,2,4,33.3
Ander Barrenetxea,7,es ESP,LW,21-228,32,0,0,0,10,16,62.5,116,30,7,10,70.0,2,3,66.7,0,2,0.0,0,0.0,0.0,0,1,1,0,1,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,21,0,0,6,15,1,21,3,2,66.7,19,119,46,1,3,0,2,2,17,4,0,0,0,1,0,0,0,4,0,1,0.0
Mikel Oyarzabal,10,es ESP,"LW,FW",26-113,73,0,1,1,9,14,64.3,110,23,6,8,75.0,2,4,50.0,0,0,,0,0.0,0.0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,23,0,4,11,10,5,23,2,1,50.0,18,127,40,2,0,2,5,2,17,6,0,0,0,2,1,0,0,4,2,2,50.0
Umar Sadiq,19,ng NGA,FW,26-191,17,0,2,0,1,3,33.3,12,12,1,1,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,0,0,2,4,2,6,2,1,50.0,4,36,0,0,0,0,0,1,7,3,0,0,0,1,0,0,0,0,3,0,100.0
Takefusa Kubo,14,jp JPN,RW,22-069,73,1,3,1,13,17,76.5,155,71,10,10,100.0,2,5,40.0,0,0,,0,0.0,0.0,1,4,0,0,4,17,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,1,0,1,1,100.0,0,1,0,1,2,4,0,0,29,0,2,13,15,2,29,2,1,50.0,19,189,78,2,2,0,2,0,17,4,0,0,0,0,0,0,0,3,0,0,
Mohamed Ali Cho,11,fr FRA,RW,19-205,17,0,0,0,6,8,75.0,55,27,4,4,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,10,0,0,4,6,0,10,2,1,50.0,7,86,56,2,3,0,0,0,7,2,0,0,0,0,0,0,0,0,1,1,50.0
Beñat Turrientes,22,es ESP,LM,21-193,79,0,1,0,16,16,100.0,274,55,8,8,100.0,5,5,100.0,2,2,100.0,0,0.0,0.0,0,1,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,19,1,5,13,2,0,19,1,0,0.0,18,75,52,1,0,0,0,0,18,0,0,0,0,4,3,0,0,3,0,3,0.0
Olasagasti,16,es ESP,LM,22-361,11,0,1,0,5,7,71.4,109,22,1,2,50.0,2,2,100.0,2,2,100.0,0,0.0,0.0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0,10,0,1,5,4,1,10,0,0,,3,7,2,0,1,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,
Martín Zubimendi,4,es ESP,CM,24-191,90,0,1,0,42,47,89.4,755,226,16,17,94.1,24,27,88.9,2,2,100.0,0,0.0,0.0,1,4,0,0,5,45,2,2,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,,0,1,1,0,0,1,1,0,52,2,10,32,11,1,52,2,1,50.0,34,214,101,2,3,1,0,0,34,2,0,0,0,0,0,0,0,7,0,0,
Brais Méndez,23,es ESP,RM,26-217,90,0,2,0,35,45,77.8,513,144,21,23,91.3,10,12,83.3,3,6,50.0,0,0.3,0.3,4,3,2,0,4,38,7,1,0,1,5,0,4,3,1,0,0,3,3,2,0,2,1,1,2,50.0,1,1,0,1,0,3,0,0,56,0,3,27,26,1,56,3,1,33.3,33,119,31,0,2,0,3,2,39,7,0,0,0,4,0,0,0,5,0,1,0.0
