Player,Number,Nationality,Position,Age,Minutes,Goals,Shots,ShotsOnTarget,CompletedPasses,AttemptedPasses,%CompletedPasses,DistancePasses,DistanceProgression,ShortPasses,AttemptedShortPasses,%ShortCompletedPasses,MediumPasses,AttemptedMediumPasses,%MediumCompletedPasses,LongPasses,AttemptedLongPasses,%LlongCompletedPasses,Assistance,ExpectedGoalsAssistance,ExpectedAssistance,KeyPasses,Last1/3Passes,GoalAreaPasses,GoalAreaCrosses,GoalPasses,LiveBallPasses,DeadBallPasses,FreeKick,LongPasses,SidePasses,Crosses,Strongcrosses,Corner,CornerIn,CornerOut,CornerRect,OffsidePasses,PassesBlocked,Tackles,SuccessfulTackles,TacklesInDefense,TacklesInMedium,TacklesInAttack,DribblerTackles,AttemptedDribblerTackles,%DribblerTacklesCompleted,DribblerTacklesNonCompleted,BallsBlocked,ShotsBlocked,PassesBlocked,Interceptions,Tackles+Interceptions,Clearances,MistakesRivalShots,Touches,OwnPenaltyAreaTouches,TouchesInDefense,TouchesInMedium,AttemptedDribbles,DribblesCompleted,%DribblesCompleted,TouchesInAttack,AwayPenaltyAreaTouches,LiveBallTouches,BallCarries,DistanceCarried,ForwardDistanceCarried,ForwardCarries,CarriesInAttack,AwayPenaltyAreaCarries,LostControlCarries,LostCarries,PassesReception,AttackPassesReception,YellowCards,RedCards,SecondYellowCards,Fouls,Offside,Penalties,PenaltiesConceded,LostBallRecoveries,AerialsWon,AerialsLost,%AerialsWon
Hugo Duro,9,es ESP,FW,23-274,90,0,3,1,13,18,72.2,161,42,6,9,66.7,5,6,83.3,0,0,,1,0.3,0.1,1,0,1,0,1,17,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,2,4,50.0,2,0,0,0,0,2,2,0,32,2,4,16,12,5,32,3,2,66.7,17,44,14,0,0,1,3,0,24,9,0,0,0,2,6,0,0,2,4,5,44.4
Domingos André Ribeiro Almeida,10,pt POR,FW,23-073,61,0,0,0,18,22,81.8,281,107,10,10,100.0,6,6,100.0,2,3,66.7,1,0.3,0.2,2,3,1,0,4,21,1,0,0,0,0,1,0,0,0,0,0,2,2,1,1,1,0,1,1,100.0,0,1,0,1,0,2,1,0,29,1,6,14,9,2,29,2,1,50.0,18,104,72,2,4,1,0,3,24,0,0,0,0,1,2,0,0,4,0,1,0.0
Javier Guerra,8,es ESP,FW,20-222,29,1,1,1,5,9,55.6,65,11,2,4,50.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,13,0,2,4,7,1,13,3,1,33.3,7,20,2,0,0,0,0,1,8,2,0,0,0,1,0,0,0,2,0,2,0.0
Diego López,16,es ESP,LM,21-090,64,0,2,0,15,21,71.4,247,76,6,7,85.7,7,10,70.0,1,2,50.0,0,0.2,0.1,1,1,1,0,4,21,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0.0,1,0,0,0,1,2,0,0,31,0,3,14,14,2,31,3,1,33.3,18,149,83,4,5,1,1,1,23,5,0,0,0,0,1,0,0,4,1,1,50.0
Pablo Gozalbez,27,es ESP,LM,22-103,26,0,0,0,4,9,44.4,35,3,2,3,66.7,1,3,33.3,0,1,0.0,0,0.0,0.0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0,13,0,4,4,5,0,13,1,0,0.0,5,12,2,0,0,0,0,0,9,0,0,0,0,3,0,0,0,1,1,0,100.0
José Luis García Vayá,18,es ESP,CM,25-000,90,0,2,0,39,58,67.2,676,194,16,21,76.2,20,25,80.0,3,8,37.5,0,0.0,0.0,0,4,0,0,4,53,5,4,0,0,2,0,1,0,0,0,0,3,1,1,1,0,0,0,0,,0,1,0,1,0,1,6,0,69,5,19,37,14,0,69,2,1,50.0,29,140,58,0,2,0,0,1,45,3,0,0,0,0,1,0,0,8,1,3,25.0
Mouctar Diakhaby,4,gn GUI,CM,26-235,90,1,1,1,41,45,91.1,655,309,24,25,96.0,13,15,86.7,3,3,100.0,0,0.0,0.0,1,4,1,0,8,42,3,3,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,1,1,100.0,0,1,0,1,1,3,4,0,57,3,14,36,8,1,57,2,2,100.0,24,83,50,2,1,0,1,2,26,0,1,0,0,1,0,0,0,10,8,1,88.9
Francisco Perez,23,es ESP,RM,20-336,60,0,0,0,11,13,84.6,144,41,9,10,90.0,1,1,100.0,1,1,100.0,0,0.1,0.2,1,1,1,1,0,13,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,21,0,2,11,8,3,21,2,1,50.0,13,124,38,3,1,2,2,6,13,3,0,0,0,2,1,0,0,4,0,0,
Dimitri Foulquier,20,fr FRA,"RB,RM",30-141,30,0,0,0,14,19,73.7,177,74,10,13,76.9,4,5,80.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,11,8,0,0,0,0,8,0,0,0,0,0,0,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,23,1,8,13,2,0,23,1,1,100.0,9,24,13,0,0,0,0,2,7,0,0,0,0,1,0,0,0,4,1,0,100.0
José Luis Gayà,14,es ESP,LB,28-078,86,0,1,0,19,30,63.3,324,157,11,13,84.6,7,10,70.0,1,6,16.7,0,0.1,0.1,1,2,2,2,2,24,6,0,0,0,4,6,0,0,0,0,0,0,6,3,4,2,0,4,5,80.0,1,2,0,2,0,6,4,0,43,2,18,20,6,0,43,2,2,100.0,14,87,65,2,0,0,0,0,17,2,0,0,0,2,0,0,0,5,0,0,
Jesus Vazquez,21,es ESP,LB,20-221,4,0,0,0,1,2,50.0,10,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,,0,1,0,1,0,1,0,0,3,0,0,1,2,0,3,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
